Name,# Of Lectures Per Week,Year,Instructors
ENCS2110,1,2,Jamal/Ibrahim/Ismail/Adnan/Ismail/Adnan/Khader/Bilal
ENCS2340,2,2,Ismail/Ismail/Mohammad Hussien/Bilal/Anjad/Ibrahim/Ali/Anjad
ENCS2380,2,2,Abualsoud/Abualsoud
ENCS311,1,3,Abualsoud
ENCS3130,1,3,Mohammad Jubran/Mohammad Jubran/Khader/Aziz/Mohammad Jubran
ENCS3310,2,3,Abdullatif/Abdullatif
ENCS3320,2,3,Abdulkarim/Ibrahim/Abdulkarim
ENCS3330,2,3,Khader/Khader
ENCS3340,2,3,Aziz/Aziz
ENCS3341,2,3,Mohammad Hilal
ENCS336,2,3,Mohammad Hilal/Mohammad Hilal
